state,party,year,stattype,value
Saarland,NPD,1999,%,
Saarland,REP,1999,%,0.013000000000000001
Saarland,FAMILIE,1999,%,
Saarland,CVP,1999,%,
Saarland,SPS,1999,%,
Saarland,KP/DKP²,1999,%,
Saarland,SVP³,1999,%,
Saarland,DDU,1999,%,
Saarland,Sonstige,1999,%,0.022000000000000002
Saarland,CDU,2004,%,0.475
Saarland,SPD,2004,%,0.308
Saarland,DPS/FDP,2004,%,0.052000000000000005
Saarland,GRÜNE,2004,%,0.055999999999999994
Saarland,DIE LINKE¹,2004,%,0.023
Saarland,PIRATEN,2004,%,
Saarland,AfD,2004,%,
Saarland,NPD,2004,%,0.04
Saarland,REP,2004,%,
Saarland,FAMILIE,2004,%,0.03
Saarland,CVP,2004,%,
Saarland,SPS,2004,%,
Saarland,KP/DKP²,2004,%,
Saarland,SVP³,2004,%,
Saarland,DDU,2004,%,
Saarland,Sonstige,2004,%,0.016
Saarland,CDU,2009,%,0.345
Saarland,SPD,2009,%,0.245
Saarland,DPS/FDP,2009,%,0.092
Saarland,GRÜNE,2009,%,0.059000000000000004
Saarland,DIE LINKE¹,2009,%,0.213
Saarland,PIRATEN,2009,%,
Saarland,AfD,2009,%,
Saarland,NPD,2009,%,0.015
Saarland,REP,2009,%,
Saarland,FAMILIE,2009,%,0.02
Saarland,CVP,2009,%,
Saarland,SPS,2009,%,
Saarland,KP/DKP²,2009,%,
Saarland,SVP³,2009,%,
Saarland,DDU,2009,%,
Saarland,Sonstige,2009,%,0.011000000000000001
Saarland,CDU,2012,%,0.35200000000000004
Saarland,SPD,2012,%,0.306
Saarland,DPS/FDP,2012,%,0.012
Saarland,GRÜNE,2012,%,0.05
Saarland,DIE LINKE¹,2012,%,0.161
Saarland,PIRATEN,2012,%,0.07400000000000001
Saarland,AfD,2012,%,
Saarland,NPD,2012,%,0.012
Saarland,REP,2012,%,
Saarland,FAMILIE,2012,%,0.017
Saarland,CVP,2012,%,
Saarland,SPS,2012,%,
Saarland,KP/DKP²,2012,%,
Saarland,SVP³,2012,%,
Saarland,DDU,2012,%,
Saarland,Sonstige,2012,%,0.015
Saarland,CDU,2017,%,0.40700000000000003
Saarland,SPD,2017,%,0.29600000000000004
Saarland,DPS/FDP,2017,%,0.033
Saarland,GRÜNE,2017,%,0.04
Saarland,DIE LINKE¹,2017,%,0.128
Saarland,PIRATEN,2017,%,0.006999999999999999
Saarland,AfD,2017,%,0.062
Saarland,NPD,2017,%,0.006999999999999999
Saarland,REP,2017,%,
Saarland,FAMILIE,2017,%,0.008
Saarland,CVP,2017,%,
Saarland,SPS,2017,%,
Saarland,KP/DKP²,2017,%,
Saarland,SVP³,2017,%,
Saarland,DDU,2017,%,
Saarland,Sonstige,2017,%,0.011000000000000001
Saarland,CDU,2022,%,0.285
Saarland,SPD,2022,%,0.435
Saarland,DPS/FDP,2022,%,0.048
Saarland,GRÜNE,2022,%,0.04995
Saarland,DIE LINKE¹,2022,%,0.026000000000000002
Saarland,PIRATEN,2022,%,0.003
Saarland,AfD,2022,%,0.057
Saarland,NPD,2022,%,
Saarland,REP,2022,%,
Saarland,FAMILIE,2022,%,0.008
Saarland,CVP,2022,%,
Saarland,SPS,2022,%,
Saarland,KP/DKP²,2022,%,
Saarland,SVP³,2022,%,
Saarland,DDU,2022,%,
Saarland,Sonstige,2022,%,0.08800000000000001
Sachsen,Wahlbeteiligung,1990,%,0.728
Sachsen,CDU,1990,%,0.5379999999999999
Sachsen,SPD,1990,%,0.191
Sachsen,PDS¹ /DIE LINKE,1990,%,0.102
Sachsen,B’90/GRÜNE²,1990,%,0.055999999999999994
Sachsen,FDP,1990,%,0.053
Sachsen,NPD,1990,%,0.006999999999999999
Sachsen,AfD,1990,%,
Sachsen,FREIE WÄHLER,1990,%,
Sachsen,BSW,1990,%,
Sachsen,REP,1990,%,
Sachsen,DSU,1990,%,0.036000000000000004
Sachsen,Pro DM,1990,%,
Sachsen,Die Tierschutzpartei,1990,%,
Sachsen,PIRATEN,1990,%,
Sachsen,Sonstige,1990,%,0.017
Sachsen,Wahlbeteiligung,1994,%,0.584
Sachsen,CDU,1994,%,0.581
Sachsen,SPD,1994,%,0.166
Sachsen,PDS¹ /DIE LINKE,1994,%,0.165
Sachsen,B’90/GRÜNE²,1994,%,0.040999999999999995
Sachsen,FDP,1994,%,0.017
Sachsen,NPD,1994,%,
Sachsen,AfD,1994,%,
Sachsen,FREIE WÄHLER,1994,%,
Sachsen,BSW,1994,%,
Sachsen,REP,1994,%,0.013000000000000001
Sachsen,DSU,1994,%,0.006
Sachsen,Pro DM,1994,%,
Sachsen,Die Tierschutzpartei,1994,%,
Sachsen,PIRATEN,1994,%,
Sachsen,Sonstige,1994,%,0.011000000000000001
Sachsen,Wahlbeteiligung,1999,%,0.611
Sachsen,CDU,1999,%,0.569
Sachsen,SPD,1999,%,0.107
Sachsen,PDS¹ /DIE LINKE,1999,%,0.222
Sachsen,B’90/GRÜNE²,1999,%,0.026000000000000002
Sachsen,FDP,1999,%,0.011000000000000001
Sachsen,NPD,1999,%,0.013999999999999999
Sachsen,AfD,1999,%,
Sachsen,FREIE WÄHLER,1999,%,
Sachsen,BSW,1999,%,
Sachsen,REP,1999,%,0.015
Sachsen,DSU,1999,%,0.004
Sachsen,Pro DM,1999,%,0.021
Sachsen,Die Tierschutzpartei,1999,%,
Sachsen,PIRATEN,1999,%,
Sachsen,Sonstige,1999,%,0.011000000000000001
Sachsen,Wahlbeteiligung,2004,%,0.596
Sachsen,CDU,2004,%,0.41100000000000003
Sachsen,SPD,2004,%,0.098
Sachsen,PDS¹ /DIE LINKE,2004,%,0.23600000000000002
Sachsen,B’90/GRÜNE²,2004,%,0.051
Sachsen,FDP,2004,%,0.059000000000000004
Sachsen,NPD,2004,%,0.092
Sachsen,AfD,2004,%,
Sachsen,FREIE WÄHLER,2004,%,
Sachsen,BSW,2004,%,
Sachsen,REP,2004,%,
Sachsen,DSU,2004,%,0.005
Sachsen,Pro DM,2004,%,
Sachsen,Die Tierschutzpartei,2004,%,0.016
Sachsen,PIRATEN,2004,%,
Sachsen,Sonstige,2004,%,0.031
Sachsen,Wahlbeteiligung,2009,%,0.522
Sachsen,CDU,2009,%,0.402
Sachsen,SPD,2009,%,0.10400000000000001
Sachsen,PDS¹ /DIE LINKE,2009,%,0.20600000000000002
Sachsen,B’90/GRÜNE²,2009,%,0.064
Sachsen,FDP,2009,%,0.1
Sachsen,NPD,2009,%,0.055999999999999994
Sachsen,AfD,2009,%,
Sachsen,FREIE WÄHLER,2009,%,
Sachsen,BSW,2009,%,
Sachsen,REP,2009,%,0.002
Sachsen,DSU,2009,%,0.002
Sachsen,Pro DM,2009,%,
Sachsen,Die Tierschutzpartei,2009,%,0.021
Sachsen,PIRATEN,2009,%,0.019
Sachsen,Sonstige,2009,%,0.025
Sachsen,Wahlbeteiligung,2014,%,0.49200000000000005
Sachsen,CDU,2014,%,0.39
Sachsen,SPD,2014,%,0.124
Sachsen,PDS¹ /DIE LINKE,2014,%,0.18899999999999997
Sachsen,B’90/GRÜNE²,2014,%,0.057
Sachsen,FDP,2014,%,0.038
Sachsen,NPD,2014,%,0.0495
Sachsen,AfD,2014,%,0.09699999999999999
Sachsen,FREIE WÄHLER,2014,%,0.016
Sachsen,BSW,2014,%,
Sachsen,REP,2014,%,
Sachsen,DSU,2014,%,0.002
Sachsen,Pro DM,2014,%,
Sachsen,Die Tierschutzpartei,2014,%,0.011000000000000001
Sachsen,PIRATEN,2014,%,0.011000000000000001
Sachsen,Sonstige,2014,%,
Sachsen,Wahlbeteiligung,2019,%,0.665
Sachsen,CDU,2019,%,0.321
Sachsen,SPD,2019,%,0.077
Sachsen,PDS¹ /DIE LINKE,2019,%,0.10400000000000001
Sachsen,B’90/GRÜNE²,2019,%,0.086
Sachsen,FDP,2019,%,0.045
Sachsen,NPD,2019,%,0.006
Sachsen,AfD,2019,%,0.275
Sachsen,FREIE WÄHLER,2019,%,0.034
Sachsen,BSW,2019,%,
Sachsen,REP,2019,%,
Sachsen,DSU,2019,%,
Sachsen,Pro DM,2019,%,
Sachsen,Die Tierschutzpartei,2019,%,0.015
Sachsen,PIRATEN,2019,%,0.003
Sachsen,Sonstige,2019,%,
Sachsen,Wahlbeteiligung,2024*,%,0.7440000000000001
Sachsen,CDU,2024*,%,0.319
Sachsen,SPD,2024*,%,0.073
Sachsen,PDS¹ /DIE LINKE,2024*,%,0.045
Sachsen,B’90/GRÜNE²,2024*,%,0.051
Sachsen,FDP,2024*,%,0.009000000000000001
Sachsen,NPD,2024*,%,
Sachsen,AfD,2024*,%,0.306
Sachsen,FREIE WÄHLER,2024*,%,0.023
Sachsen,BSW,2024*,%,0.11800000000000001
Sachsen,REP,2024*,%,
Sachsen,DSU,2024*,%,
Sachsen,Pro DM,2024*,%,
Sachsen,Die Tierschutzpartei,2024*,%,
Sachsen,PIRATEN,2024*,%,0.003
Sachsen,Sonstige,2024*,%,0.053
Niedersachsen,Wahlbeteiligung,1947,%,0.6509999999999999
Niedersachsen,CDU¹,1947,%,0.19899999999999998
Niedersachsen,SPD,1947,%,0.434
Niedersachsen,FDP,1947,%,0.08800000000000001
Niedersachsen,GRÜNE,1947,%,
Niedersachsen,DIE LINKE,1947,%,
Niedersachsen,AfD,1947,%,
Niedersachsen,DRP/NPD³,1947,%,0.003
Niedersachsen,PIRATEN,1947,%,
Niedersachsen,SRP,1947,%,
Niedersachsen,"NLP/DP1, 4",1947,%,0.179
Niedersachsen,BHE/GDP,1947,%,
Niedersachsen,KPD/DKP²,1947,%,0.057
Niedersachsen,Zentrum,1947,%,0.040999999999999995
Niedersachsen,DSP,1947,%,
Niedersachsen,REP,1947,%,
Niedersachsen,Sonstige,1947,%,
Niedersachsen,Wahlbeteiligung,1951,%,0.758
Niedersachsen,CDU¹,1951,%,0.237
Niedersachsen,SPD,1951,%,0.337
Niedersachsen,FDP,1951,%,0.083
Niedersachsen,GRÜNE,1951,%,
Niedersachsen,DIE LINKE,1951,%,
Niedersachsen,AfD,1951,%,
Niedersachsen,DRP/NPD³,1951,%,0.022000000000000002
Niedersachsen,PIRATEN,1951,%,
Niedersachsen,SRP,1951,%,0.11
Niedersachsen,"NLP/DP1, 4",1951,%,
Niedersachsen,BHE/GDP,1951,%,0.149
Niedersachsen,KPD/DKP²,1951,%,0.018000000000000002
Niedersachsen,Zentrum,1951,%,0.033
Niedersachsen,DSP,1951,%,0.008
Niedersachsen,REP,1951,%,
Niedersachsen,Sonstige,1951,%,
Niedersachsen,Wahlbeteiligung,1955,%,0.775
Niedersachsen,CDU¹,1955,%,0.266
Niedersachsen,SPD,1955,%,0.35200000000000004
Niedersachsen,FDP,1955,%,0.079
Niedersachsen,GRÜNE,1955,%,
Niedersachsen,DIE LINKE,1955,%,
Niedersachsen,AfD,1955,%,
Niedersachsen,DRP/NPD³,1955,%,0.038
Niedersachsen,PIRATEN,1955,%,
Niedersachsen,SRP,1955,%,
Niedersachsen,"NLP/DP1, 4",1955,%,0.124
Niedersachsen,BHE/GDP,1955,%,0.11
Niedersachsen,KPD/DKP²,1955,%,0.013000000000000001
Niedersachsen,Zentrum,1955,%,0.011000000000000001
Niedersachsen,DSP,1955,%,
Niedersachsen,REP,1955,%,
Niedersachsen,Sonstige,1955,%,0.006999999999999999
Niedersachsen,Wahlbeteiligung,1959,%,0.78
Niedersachsen,CDU¹,1959,%,0.308
Niedersachsen,SPD,1959,%,0.395
Niedersachsen,FDP,1959,%,0.052000000000000005
Niedersachsen,GRÜNE,1959,%,
Niedersachsen,DIE LINKE,1959,%,
Niedersachsen,AfD,1959,%,
Niedersachsen,DRP/NPD³,1959,%,0.036000000000000004
Niedersachsen,PIRATEN,1959,%,
Niedersachsen,SRP,1959,%,
Niedersachsen,"NLP/DP1, 4",1959,%,0.124
Niedersachsen,BHE/GDP,1959,%,0.083
Niedersachsen,KPD/DKP²,1959,%,
Niedersachsen,Zentrum,1959,%,0.0
Niedersachsen,DSP,1959,%,
Niedersachsen,REP,1959,%,
Niedersachsen,Sonstige,1959,%,0.002
Niedersachsen,Wahlbeteiligung,1963,%,0.769
Niedersachsen,CDU¹,1963,%,0.377
Niedersachsen,SPD,1963,%,0.449
Niedersachsen,FDP,1963,%,0.08800000000000001
Niedersachsen,GRÜNE,1963,%,
Niedersachsen,DIE LINKE,1963,%,
Niedersachsen,AfD,1963,%,
Niedersachsen,DRP/NPD³,1963,%,0.015
Niedersachsen,PIRATEN,1963,%,
Niedersachsen,SRP,1963,%,
Niedersachsen,"NLP/DP1, 4",1963,%,0.027000000000000003
Niedersachsen,BHE/GDP,1963,%,
Niedersachsen,KPD/DKP²,1963,%,
Niedersachsen,Zentrum,1963,%,
Niedersachsen,DSP,1963,%,
Niedersachsen,REP,1963,%,
Niedersachsen,Sonstige,1963,%,0.044000000000000004
Niedersachsen,Wahlbeteiligung,1967,%,0.758
Niedersachsen,CDU¹,1967,%,0.41700000000000004
Niedersachsen,SPD,1967,%,0.431
Niedersachsen,FDP,1967,%,0.069
Niedersachsen,GRÜNE,1967,%,
Niedersachsen,DIE LINKE,1967,%,
Niedersachsen,AfD,1967,%,
Niedersachsen,DRP/NPD³,1967,%,0.07
Niedersachsen,PIRATEN,1967,%,
Niedersachsen,SRP,1967,%,
Niedersachsen,"NLP/DP1, 4",1967,%,
Niedersachsen,BHE/GDP,1967,%,
Niedersachsen,KPD/DKP²,1967,%,
Niedersachsen,Zentrum,1967,%,
Niedersachsen,DSP,1967,%,
Niedersachsen,REP,1967,%,
Niedersachsen,Sonstige,1967,%,0.013000000000000001
Niedersachsen,Wahlbeteiligung,1970,%,0.767
Niedersachsen,CDU¹,1970,%,0.457
Niedersachsen,SPD,1970,%,0.46299999999999997
Niedersachsen,FDP,1970,%,0.044000000000000004
Niedersachsen,GRÜNE,1970,%,
Niedersachsen,DIE LINKE,1970,%,
Niedersachsen,AfD,1970,%,
Niedersachsen,DRP/NPD³,1970,%,0.032
Niedersachsen,PIRATEN,1970,%,
Niedersachsen,SRP,1970,%,
Niedersachsen,"NLP/DP1, 4",1970,%,
Niedersachsen,BHE/GDP,1970,%,
Niedersachsen,KPD/DKP²,1970,%,0.004
Niedersachsen,Zentrum,1970,%,0.031
Niedersachsen,DSP,1970,%,
Niedersachsen,REP,1970,%,
Niedersachsen,Sonstige,1970,%,
Niedersachsen,Wahlbeteiligung,1974,%,0.8440000000000001
Niedersachsen,CDU¹,1974,%,0.488
Niedersachsen,SPD,1974,%,0.431
Niedersachsen,FDP,1974,%,0.07
Niedersachsen,GRÜNE,1974,%,
Niedersachsen,DIE LINKE,1974,%,
Niedersachsen,AfD,1974,%,
Niedersachsen,DRP/NPD³,1974,%,0.006
Niedersachsen,PIRATEN,1974,%,
Niedersachsen,SRP,1974,%,
Niedersachsen,"NLP/DP1, 4",1974,%,
Niedersachsen,BHE/GDP,1974,%,
Niedersachsen,KPD/DKP²,1974,%,0.004
Niedersachsen,Zentrum,1974,%,
Niedersachsen,DSP,1974,%,
Niedersachsen,REP,1974,%,
Niedersachsen,Sonstige,1974,%,
Niedersachsen,Wahlbeteiligung,1978,%,0.785
Niedersachsen,CDU¹,1978,%,0.48700000000000004
Niedersachsen,SPD,1978,%,0.42200000000000004
Niedersachsen,FDP,1978,%,0.042
Niedersachsen,GRÜNE,1978,%,0.039
Niedersachsen,DIE LINKE,1978,%,
Niedersachsen,AfD,1978,%,
Niedersachsen,DRP/NPD³,1978,%,0.004
Niedersachsen,PIRATEN,1978,%,
Niedersachsen,SRP,1978,%,
Niedersachsen,"NLP/DP1, 4",1978,%,
Niedersachsen,BHE/GDP,1978,%,
Niedersachsen,KPD/DKP²,1978,%,0.003
Niedersachsen,Zentrum,1978,%,
Niedersachsen,DSP,1978,%,
Niedersachsen,REP,1978,%,
Niedersachsen,Sonstige,1978,%,0.003
Niedersachsen,Wahlbeteiligung,1982,%,0.777
Niedersachsen,CDU¹,1982,%,0.507
Niedersachsen,SPD,1982,%,0.365
Niedersachsen,FDP,1982,%,0.059000000000000004
Niedersachsen,GRÜNE,1982,%,0.065
Niedersachsen,DIE LINKE,1982,%,
Niedersachsen,AfD,1982,%,
Niedersachsen,DRP/NPD³,1982,%,
Niedersachsen,PIRATEN,1982,%,
Niedersachsen,SRP,1982,%,
Niedersachsen,"NLP/DP1, 4",1982,%,
Niedersachsen,BHE/GDP,1982,%,
Niedersachsen,KPD/DKP²,1982,%,0.003
Niedersachsen,Zentrum,1982,%,
Niedersachsen,DSP,1982,%,
Niedersachsen,REP,1982,%,
Niedersachsen,Sonstige,1982,%,
Niedersachsen,Wahlbeteiligung,1986,%,0.773
Niedersachsen,CDU¹,1986,%,0.44299999999999995
Niedersachsen,SPD,1986,%,0.42100000000000004
Niedersachsen,FDP,1986,%,0.06
Niedersachsen,GRÜNE,1986,%,0.071
Niedersachsen,DIE LINKE,1986,%,
Niedersachsen,AfD,1986,%,
Niedersachsen,DRP/NPD³,1986,%,
Niedersachsen,PIRATEN,1986,%,
Niedersachsen,SRP,1986,%,
Niedersachsen,"NLP/DP1, 4",1986,%,
Niedersachsen,BHE/GDP,1986,%,
Niedersachsen,KPD/DKP²,1986,%,0.001
Niedersachsen,Zentrum,1986,%,
Niedersachsen,DSP,1986,%,
Niedersachsen,REP,1986,%,
Niedersachsen,Sonstige,1986,%,0.004
Niedersachsen,Wahlbeteiligung,1990,%,0.746
Niedersachsen,CDU¹,1990,%,0.42
Niedersachsen,SPD,1990,%,0.442
Niedersachsen,FDP,1990,%,0.06
Niedersachsen,GRÜNE,1990,%,0.055
Niedersachsen,DIE LINKE,1990,%,
Niedersachsen,AfD,1990,%,
Niedersachsen,DRP/NPD³,1990,%,0.002
Niedersachsen,PIRATEN,1990,%,
Niedersachsen,SRP,1990,%,
Niedersachsen,"NLP/DP1, 4",1990,%,
Niedersachsen,BHE/GDP,1990,%,
Niedersachsen,KPD/DKP²,1990,%,
Niedersachsen,Zentrum,1990,%,
Niedersachsen,DSP,1990,%,
Niedersachsen,REP,1990,%,0.015
Niedersachsen,Sonstige,1990,%,0.006
Niedersachsen,Wahlbeteiligung,1994,%,0.738
Niedersachsen,CDU¹,1994,%,0.364
Niedersachsen,SPD,1994,%,0.44299999999999995
Niedersachsen,FDP,1994,%,0.044000000000000004
Niedersachsen,GRÜNE,1994,%,0.07400000000000001
Niedersachsen,DIE LINKE,1994,%,
Niedersachsen,AfD,1994,%,
Niedersachsen,DRP/NPD³,1994,%,
Niedersachsen,PIRATEN,1994,%,
Niedersachsen,SRP,1994,%,
Niedersachsen,"NLP/DP1, 4",1994,%,
Niedersachsen,BHE/GDP,1994,%,
Niedersachsen,KPD/DKP²,1994,%,
Niedersachsen,Zentrum,1994,%,
Niedersachsen,DSP,1994,%,
Niedersachsen,REP,1994,%,0.037000000000000005
Niedersachsen,Sonstige,1994,%,0.038
Niedersachsen,Wahlbeteiligung,1998,%,0.738
Niedersachsen,CDU¹,1998,%,0.359
Niedersachsen,SPD,1998,%,0.479
Niedersachsen,FDP,1998,%,0.049
Niedersachsen,GRÜNE,1998,%,0.07
Niedersachsen,DIE LINKE,1998,%,
Niedersachsen,AfD,1998,%,
Niedersachsen,DRP/NPD³,1998,%,
Niedersachsen,PIRATEN,1998,%,
Niedersachsen,SRP,1998,%,
Niedersachsen,"NLP/DP1, 4",1998,%,
Niedersachsen,BHE/GDP,1998,%,
Niedersachsen,KPD/DKP²,1998,%,
Niedersachsen,Zentrum,1998,%,
Niedersachsen,DSP,1998,%,
Niedersachsen,REP,1998,%,0.027999999999999997
Niedersachsen,Sonstige,1998,%,0.015
Niedersachsen,Wahlbeteiligung,2003,%,0.67
Niedersachsen,CDU¹,2003,%,0.483
Niedersachsen,SPD,2003,%,0.33399999999999996
Niedersachsen,FDP,2003,%,0.081
Niedersachsen,GRÜNE,2003,%,0.076
Niedersachsen,DIE LINKE,2003,%,0.005
Niedersachsen,AfD,2003,%,
Niedersachsen,DRP/NPD³,2003,%,
Niedersachsen,PIRATEN,2003,%,
Niedersachsen,SRP,2003,%,
Niedersachsen,"NLP/DP1, 4",2003,%,
Niedersachsen,BHE/GDP,2003,%,
Niedersachsen,KPD/DKP²,2003,%,
Niedersachsen,Zentrum,2003,%,
Niedersachsen,DSP,2003,%,
Niedersachsen,REP,2003,%,0.004
Niedersachsen,Sonstige,2003,%,0.016
Niedersachsen,Wahlbeteiligung,2008,%,0.5710000000000001
Niedersachsen,CDU¹,2008,%,0.425
Niedersachsen,SPD,2008,%,0.303
Niedersachsen,FDP,2008,%,0.08199999999999999
Niedersachsen,GRÜNE,2008,%,0.08
Niedersachsen,DIE LINKE,2008,%,0.071
Niedersachsen,AfD,2008,%,
Niedersachsen,DRP/NPD³,2008,%,0.015
Niedersachsen,PIRATEN,2008,%,
Niedersachsen,SRP,2008,%,
Niedersachsen,"NLP/DP1, 4",2008,%,
Niedersachsen,BHE/GDP,2008,%,
Niedersachsen,KPD/DKP²,2008,%,
Niedersachsen,Zentrum,2008,%,
Niedersachsen,DSP,2008,%,
Niedersachsen,REP,2008,%,
Niedersachsen,Sonstige,2008,%,0.024
Niedersachsen,Wahlbeteiligung,2013,%,0.594
Niedersachsen,CDU¹,2013,%,0.36
Niedersachsen,SPD,2013,%,0.326
Niedersachsen,FDP,2013,%,0.099
Niedersachsen,GRÜNE,2013,%,0.13699999999999998
Niedersachsen,DIE LINKE,2013,%,0.031
Niedersachsen,AfD,2013,%,
Niedersachsen,DRP/NPD³,2013,%,0.008
Niedersachsen,PIRATEN,2013,%,0.021
Niedersachsen,SRP,2013,%,
Niedersachsen,"NLP/DP1, 4",2013,%,
Niedersachsen,BHE/GDP,2013,%,
Niedersachsen,KPD/DKP²,2013,%,
Niedersachsen,Zentrum,2013,%,
Niedersachsen,DSP,2013,%,
Niedersachsen,REP,2013,%,
Niedersachsen,Sonstige,2013,%,0.025
Niedersachsen,Wahlbeteiligung,2017,%,0.631
Niedersachsen,CDU¹,2017,%,0.336
Niedersachsen,SPD,2017,%,0.369
Niedersachsen,FDP,2017,%,0.075
Niedersachsen,GRÜNE,2017,%,0.087
Niedersachsen,DIE LINKE,2017,%,0.046
Niedersachsen,AfD,2017,%,0.062
Niedersachsen,DRP/NPD³,2017,%,
Niedersachsen,PIRATEN,2017,%,0.002
Niedersachsen,SRP,2017,%,
Niedersachsen,"NLP/DP1, 4",2017,%,
Niedersachsen,BHE/GDP,2017,%,
Niedersachsen,KPD/DKP²,2017,%,
Niedersachsen,Zentrum,2017,%,
Niedersachsen,DSP,2017,%,
Niedersachsen,REP,2017,%,
Niedersachsen,Sonstige,2017,%,0.022000000000000002
Niedersachsen,Wahlbeteiligung,2022,%,0.603
Niedersachsen,CDU¹,2022,%,0.281
Niedersachsen,SPD,2022,%,0.33399999999999996
Niedersachsen,FDP,2022,%,0.047
Niedersachsen,GRÜNE,2022,%,0.145
Niedersachsen,DIE LINKE,2022,%,0.027000000000000003
Niedersachsen,AfD,2022,%,0.109
Niedersachsen,DRP/NPD³,2022,%,
Niedersachsen,PIRATEN,2022,%,0.004
Niedersachsen,SRP,2022,%,
Niedersachsen,"NLP/DP1, 4",2022,%,
Niedersachsen,BHE/GDP,2022,%,
Niedersachsen,KPD/DKP²,2022,%,
Niedersachsen,Zentrum,2022,%,
Niedersachsen,DSP,2022,%,
Niedersachsen,REP,2022,%,
Niedersachsen,Sonstige,2022,%,0.052000000000000005
Rheinland-Pfalz,CDU,1947,%,0.47200000000000003
Rheinland-Pfalz,SPD,1947,%,0.34299999999999997
Rheinland-Pfalz,FDP¹,1947,%,0.098
Rheinland-Pfalz,GRÜNE,1947,%,
Rheinland-Pfalz,AfD,1947,%,
Rheinland-Pfalz,FREIE WÄHLER,1947,%,
Rheinland-Pfalz,REP,1947,%,
Rheinland-Pfalz,DIE LINKE²,1947,%,
Rheinland-Pfalz,DRP/NPD³,1947,%,
Rheinland-Pfalz,KPD/DKP4,1947,%,0.087
Rheinland-Pfalz,PIRATEN,1947,%,
Rheinland-Pfalz,Tierschutzpartei,1947,%,
Rheinland-Pfalz,DIE PARTEI,1947,%,
Rheinland-Pfalz,Volt,1947,%,
Rheinland-Pfalz,Sonstige,1947,%,
Rheinland-Pfalz,CDU,1951,%,0.392
Rheinland-Pfalz,SPD,1951,%,0.34
Rheinland-Pfalz,FDP¹,1951,%,0.16699999999999998
Rheinland-Pfalz,GRÜNE,1951,%,
Rheinland-Pfalz,AfD,1951,%,
Rheinland-Pfalz,FREIE WÄHLER,1951,%,
Rheinland-Pfalz,REP,1951,%,
Rheinland-Pfalz,DIE LINKE²,1951,%,
Rheinland-Pfalz,DRP/NPD³,1951,%,0.005
Rheinland-Pfalz,KPD/DKP4,1951,%,0.043
Rheinland-Pfalz,PIRATEN,1951,%,
Rheinland-Pfalz,Tierschutzpartei,1951,%,
Rheinland-Pfalz,DIE PARTEI,1951,%,
Rheinland-Pfalz,Volt,1951,%,
Rheinland-Pfalz,Sonstige,1951,%,0.053
Rheinland-Pfalz,CDU,1955,%,0.46799999999999997
Rheinland-Pfalz,SPD,1955,%,0.317
Rheinland-Pfalz,FDP¹,1955,%,0.127
Rheinland-Pfalz,GRÜNE,1955,%,
Rheinland-Pfalz,AfD,1955,%,
Rheinland-Pfalz,FREIE WÄHLER,1955,%,
Rheinland-Pfalz,REP,1955,%,
Rheinland-Pfalz,DIE LINKE²,1955,%,
Rheinland-Pfalz,DRP/NPD³,1955,%,
Rheinland-Pfalz,KPD/DKP4,1955,%,0.032
Rheinland-Pfalz,PIRATEN,1955,%,
Rheinland-Pfalz,Tierschutzpartei,1955,%,
Rheinland-Pfalz,DIE PARTEI,1955,%,
Rheinland-Pfalz,Volt,1955,%,
Rheinland-Pfalz,Sonstige,1955,%,0.055999999999999994
Rheinland-Pfalz,CDU,1959,%,0.484
Rheinland-Pfalz,SPD,1959,%,0.349
Rheinland-Pfalz,FDP¹,1959,%,0.09699999999999999
Rheinland-Pfalz,GRÜNE,1959,%,
Rheinland-Pfalz,AfD,1959,%,
Rheinland-Pfalz,FREIE WÄHLER,1959,%,
Rheinland-Pfalz,REP,1959,%,
Rheinland-Pfalz,DIE LINKE²,1959,%,
Rheinland-Pfalz,DRP/NPD³,1959,%,0.051
Rheinland-Pfalz,KPD/DKP4,1959,%,
Rheinland-Pfalz,PIRATEN,1959,%,
Rheinland-Pfalz,Tierschutzpartei,1959,%,
Rheinland-Pfalz,DIE PARTEI,1959,%,
Rheinland-Pfalz,Volt,1959,%,
Rheinland-Pfalz,Sonstige,1959,%,0.019
Rheinland-Pfalz,CDU,1963,%,0.444
Rheinland-Pfalz,SPD,1963,%,0.40700000000000003
Rheinland-Pfalz,FDP¹,1963,%,0.10099999999999999
Rheinland-Pfalz,GRÜNE,1963,%,
Rheinland-Pfalz,AfD,1963,%,
Rheinland-Pfalz,FREIE WÄHLER,1963,%,
Rheinland-Pfalz,REP,1963,%,
Rheinland-Pfalz,DIE LINKE²,1963,%,
Rheinland-Pfalz,DRP/NPD³,1963,%,0.032
Rheinland-Pfalz,KPD/DKP4,1963,%,
Rheinland-Pfalz,PIRATEN,1963,%,
Rheinland-Pfalz,Tierschutzpartei,1963,%,
Rheinland-Pfalz,DIE PARTEI,1963,%,
Rheinland-Pfalz,Volt,1963,%,
Rheinland-Pfalz,Sonstige,1963,%,0.015
Rheinland-Pfalz,CDU,1967,%,0.467
Rheinland-Pfalz,SPD,1967,%,0.368
Rheinland-Pfalz,FDP¹,1967,%,0.083
Rheinland-Pfalz,GRÜNE,1967,%,
Rheinland-Pfalz,AfD,1967,%,
Rheinland-Pfalz,FREIE WÄHLER,1967,%,
Rheinland-Pfalz,REP,1967,%,
Rheinland-Pfalz,DIE LINKE²,1967,%,
